year,exporter,import_value_usd,import_quantity_tonnes,tariff_cn_on_exporter
2020,US,11000000000.0,28000000.0,0.25
2020,Brazil,25000000000.0,70000000.0,0.03
2020,Argentina,6000000000.0,15000000.0,0.03
2021,US,13000000000.0,30000000.0,0.2
2021,Brazil,24500000000.0,69000000.0,0.03
2021,Argentina,6500000000.0,16000000.0,0.03
2022,US,10000000000.0,25000000.0,0.3
2022,Brazil,28000000000.0,75000000.0,0.03
2022,Argentina,7000000000.0,17000000.0,0.03
2023,US,12000000000.0,27000000.0,0.28
2023,Brazil,27500000000.0,74000000.0,0.03
2023,Argentina,7500000000.0,17500000.0,0.03
2024,US,13000000000.0,28000000.0,0.25
2024,Brazil,27000000000.0,73000000.0,0.03
2024,Argentina,8000000000.0,18000000.0,0.03
