# 统一Q1大豆贸易数据
# 单位：数量(万吨)，金额(亿美元)，价格(美元/吨)，关税(%)
# 数据来源：q1_1.csv(月度，2010-2019) + q1_0_unified_units.csv(年度，2015-2024)

# 月度数据部分 (2010-2019)
period,exporter,quantity_10k_tonnes,value_100m_usd,unit_price_usd_per_ton,tariff_rate,data_source
201001,USA,402.6978304,18.67615744,463.9,0.03,monthly
201001,Brazil,1.0435458,0.05345145,512.3,0.03,monthly
201002,USA,294.8828928,13.52416896,458.7,0.03,monthly
201003,USA,354.0076288,15.8930752,448.9,0.03,monthly
201003,Brazil,46.8953856,2.06907728,441.2,0.03,monthly
201004,USA,229.8529536,10.15962048,442.0,0.03,monthly
201004,Brazil,189.6304128,8.25314176,435.2,0.03,monthly
201005,Brazil,323.1235072,13.90426368,430.3,0.03,monthly
201005,USA,70.607136,3.09747168,438.7,0.03,monthly
201005,Argentina,43.0307712,1.83450944,426.3,0.03,monthly
201006,Brazil,398.5316352,17.02101376,427.2,0.03,monthly
201006,Argentina,189.4822656,8.0192064,423.2,0.03,monthly
201006,USA,27.6897664,1.21107928,437.4,0.03,monthly
201007,Brazil,248.1839104,10.52252736,424.0,0.03,monthly
201007,Argentina,221.8768896,9.3209472,420.1,0.03,monthly
201007,USA,4.8371112,0.20216452,417.9,0.03,monthly
201008,Brazil,247.2083456,10.87312,439.8,0.03,monthly
201008,Argentina,172.9892352,7.32004352,423.1,0.03,monthly
201008,USA,23.567016,0.99507816,422.1,0.03,monthly
201009,Brazil,223.7194752,10.06110464,449.7,0.03,monthly
201009,Argentina,168.441728,7.63232384,453.1,0.03,monthly
201009,USA,27.941376,1.29789256,464.5,0.03,monthly
201010,Argentina,186.2653696,8.72225152,468.2,0.03,monthly
201010,Brazil,105.0150272,4.86246592,463.0,0.03,monthly
201010,USA,56.244896,2.70925248,481.7,0.03,monthly
201011,USA,378.4147456,19.35065984,511.4,0.03,monthly
201011,Argentina,91.5015872,4.52791456,494.8,0.03,monthly
201011,Brazil,69.7722176,3.49367328,500.6,0.03,monthly
201012,USA,488.7384064,26.0416896,532.8,0.03,monthly
201012,Argentina,45.4561152,2.3814704,523.9,0.03,monthly
201012,Brazil,5.8072376,0.31979148,550.7,0.03,monthly

# 年度数据部分 (2015-2024) - 使用统一的价格计算逻辑
year,exporter,quantity_10k_tonnes,value_100m_usd,unit_price_usd_per_ton,tariff_rate,data_source
2015,Argentina,450,16,355.56,0.03,annual
2015,US,2750,110,400.0,0.03,annual
2015,Brazil,4500,180,400.0,0.03,annual
2016,Argentina,704.4302084197001,323.0710791,458.63,0.03,annual
2016,US,3000,120,400.0,0.03,annual
2016,Brazil,3390.9426784663,1555.1795453,458.63,0.03,annual
2017,Argentina,604.2413445916,268.3449005,444.1,0.03,annual
2017,US,3290,126,383.0,0.03,annual
2017,Brazil,4742.7414145559,2091.6040906,441.01,0.03,annual
2018,Argentina,146.3948906,62.1202902,424.33,0.03,annual
2018,US,1660,62,373.49,0.28,annual
2018,Brazil,6608.165,2884.2575657,436.47,0.03,annual
2019,Argentina,879.1149067,357.7309544,406.92,0.03,annual
2019,US,2200,74,336.36,0.33,annual
2019,Brazil,5767.515,2299.9907858,398.78,0.03,annual
2020,Argentina,745.5869084,289.693757,388.54,0.03,annual
2020,US,2400,102,425.0,0.275,annual
2020,Brazil,6427.744,2490.5769538,387.47,0.03,annual
2021,Argentina,371.132,213.0194323,573.97,0.03,annual
2021,US,2300,134,582.61,0.275,annual
2021,Brazil,5806.3662,3309.0835929,569.91,0.03,annual
2022,Argentina,351.7952036,233.4274372,663.53,0.03,annual
2022,US,2100,128,609.52,0.275,annual
2022,Brazil,5439.2840130052,3730.1387864,685.78,0.03,annual
2023,Argentina,199.2167381,124.4740437,624.82,0.03,annual
2023,US,2240,153,683.04,0.275,annual
2023,Brazil,6995.1201025,4099.7572531,586.09,0.03,annual
2024,Argentina,410.1921126,208.2480281,507.68,0.03,annual
2024,US,2200,126,572.73,0.13,annual
2024,Brazil,7464.7380005,3645.5784932,488.37,0.03,annual
