year,exporter,import_value_usd,import_quantity_tonnes,tariff_cn_on_exporter
2015,US,12409525160,28413100,0.03
2015,Brazil,16887094930,40076700,0.03
2015,Argentina,3915652180,9436590,0.03
2016,US,13763759050,30010800,0.03
2016,Brazil,15551795450,33909400,0.03
2016,Argentina,3230710790,7044300,0.03
2017,US,13940603830,32853000,0.03
2017,Brazil,20916040910,50927400,0.03
2017,Argentina,2683449000,6581050,0.03
2018,US,7061192630,16640100,0.28
2018,Brazil,28842575660,66081700,0.03
2018,Argentina,621202900,1463950,0.03
2019,US,6682215260,16943700,0.33
2019,Brazil,22999907860,57675200,0.03
2019,Argentina,3577309540,8791150,0.03
2020,US,10650472280,25874200,0.275
2020,Brazil,24905769540,64277400,0.03
2020,Argentina,2896937570,7455870,0.03
2021,US,16557710690,31622700,0.275
2021,Brazil,33090835930,58063700,0.03
2021,Argentina,2130194320,3711320,0.03
2022,US,19108341550,29533000,0.275
2022,Brazil,37321440680,54393500,0.03
2022,Argentina,2426814090,3649550,0.03
2023,US,15299669750,22432600,0.275
2023,Brazil,40954089980,59670300,0.03
2023,Argentina,1244740440,1992170,0.03
2024,US,12040339330,22134100,0.13
2024,Brazil,36455784930,74647400,0.03
2024,Argentina,2082480280,4101920,0.03
