year,segment,us_production_billions,import_value_billions,export_value_billions,self_sufficiency_ratio,china_share_pct
2015,high,5.0,20.0,8.0,0.33,5.0
2015,mid,15.0,30.0,10.0,0.50,15.0
2015,low,23.55,40.0,15.0,0.53,35.0
2016,high,4.8,20.5,7.9,0.32,5.0
2016,mid,14.8,30.5,9.9,0.49,14.5
2016,low,23.69,40.5,14.9,0.52,34.5
2017,high,5.5,21.0,8.2,0.35,5.0
2017,mid,17.5,31.0,10.2,0.56,14.0
2017,low,28.69,41.0,15.2,0.59,34.0
2018,high,6.0,21.5,8.4,0.36,5.0
2018,mid,19.5,31.5,10.4,0.60,13.5
2018,low,32.13,41.5,15.4,0.63,33.5
2019,high,5.3,22.0,8.6,0.33,5.0
2019,mid,16.9,32.0,10.6,0.52,13.0
2019,low,27.97,42.0,15.6,0.56,33.0
2020,high,5.5,22.5,8.8,0.34,4.5
2020,mid,17.7,32.5,10.8,0.54,12.5
2020,low,29.48,42.5,15.8,0.58,32.5
2021,high,6.8,23.0,9.0,0.42,4.0
2021,mid,22.0,33.0,11.0,0.67,12.0
2021,low,36.8,43.0,16.0,0.73,32.0
2022,high,6.9,23.5,9.2,0.42,3.5
2022,mid,22.3,33.5,11.2,0.68,11.5
2022,low,37.23,43.5,16.2,0.74,31.5
2023,high,6.0,24.0,9.4,0.38,3.0
2023,mid,19.3,34.0,11.4,0.59,11.0
2023,low,33.7,44.0,16.4,0.67,31.0
2024,high,7.5,24.5,9.6,0.46,2.5
2024,mid,24.0,34.5,11.6,0.73,10.5
2024,low,36.28,44.5,16.6,0.71,30.5
