year,exporter,import_quantity_tonnes,import_value_usd,unit_price_usd_per_ton,tariff_cn_on_exporter
2015,Argentina,4500000.0,1600000000.0,399.0,0.03
2015,US,27500000.0,11000000000.0,399.0,0.03
2015,Brazil,45000000.0,18000000000.0,399.0,0.03
2016,Argentina,7044302.084197001,3230710791.0,458.627519431299,0.03
2016,US,30000000.0,12000000000.0,400.0,0.03
2016,Brazil,33909426.784663,15551795453.0,458.6274947010891,0.03
2017,Argentina,6042413.445916,2683449005.0,444.10218350975526,0.03
2017,US,32900000.0,12600000000.0,382.0,0.03
2017,Brazil,47427414.145559,20916040906.0,441.0116234000612,0.03
2018,Argentina,1463948.906,621202902.0,424.33373149431486,0.03
2018,US,16600000.0,6200000000.0,373.0,0.28
2018,Brazil,66081650.0,28842575657.0,436.46875731765175,0.03
2019,Argentina,8791149.067,3577309544.0,406.9217251051307,0.03
2019,US,22000000.0,7400000000.0,335.0,0.33
2019,Brazil,57675150.0,22999907858.0,398.7836678014708,0.03
2020,Argentina,7455869.084,2896937570.0,388.544586467688,0.03
2020,US,24000000.0,10200000000.0,424.0,0.275
2020,Brazil,64277440.0,24905769538.0,387.47295377662834,0.03
2021,Argentina,3711320.0,2130194323.0,573.9721508789326,0.03
2021,US,23000000.0,13400000000.0,583.0,0.275
2021,Brazil,58063662.01,33090835929.0,569.9061131091067,0.03
2022,Argentina,3517952.036,2334274372.0,663.5321767075962,0.03
2022,US,21000000.0,12800000000.0,609.0,0.275
2022,Brazil,54392840.130052,37301387864.0,685.777535697957,0.03
2023,Argentina,1992167.381,1244740437.0,624.8171960205386,0.03
2023,US,22400000.0,15300000000.0,598.0,0.275
2023,Brazil,69951201.025,40997572531.0,586.0881861963712,0.03
2024,Argentina,4101921.126,2082480281.0,507.6841355627763,0.03
2024,US,22000000.0,12600000000.0,550.0,0.13
2024,Brazil,74647380.005,36455784932.0,488.3732681516503,0.03
