period,partnerDesc,netWgt,primaryValue,数量(万吨),金额(亿美元)
201001,USA,4026978304.0,1867615744.0,402.6978304,18.67615744
201001,Brazil,10435458.0,5345145.0,1.0435458,0.05345145
201002,USA,2948828928.0,1352416896.0,294.8828928,13.52416896
201003,USA,3540076288.0,1589307520.0,354.0076288,15.8930752
201003,Brazil,468953856.0,206907728.0,46.895385600000004,2.06907728
201004,USA,2298529536.0,1015962048.0,229.85295359999998,10.15962048
201004,Brazil,1896304128.0,825314176.0,189.63041280000002,8.25314176
201005,Brazil,3231235072.0,1390426368.0,323.1235072,13.90426368
201005,USA,706071360.0,309747168.0,70.607136,3.09747168
201005,Argentina,430307712.0,183450944.0,43.0307712,1.83450944
201006,Brazil,3985316352.0,1702101376.0,398.5316352,17.02101376
201006,Argentina,1894822656.0,801920640.0,189.4822656,8.0192064
201006,USA,276897664.0,121107928.0,27.6897664,1.21107928
201007,Brazil,2481839104.0,1052252736.0,248.18391039999997,10.52252736
201007,Argentina,2218768896.0,932094720.0,221.87688960000003,9.3209472
201007,USA,48371112.0,20216452.0,4.8371112,0.20216452
201008,Brazil,2472083456.0,1087312000.0,247.20834559999997,10.87312
201008,Argentina,1729892352.0,732004352.0,172.9892352,7.32004352
201008,USA,235670160.0,99507816.0,23.567016,0.99507816
201009,Brazil,2237194752.0,1006110464.0,223.71947519999998,10.06110464
201009,Argentina,1684417280.0,763232384.0,168.441728,7.63232384
201009,USA,279413760.0,129789256.0,27.941376,1.29789256
201010,Argentina,1862653696.0,872225152.0,186.26536959999999,8.72225152
201010,Brazil,1050150272.0,486246592.0,105.0150272,4.86246592
201010,USA,562448960.0,270925248.0,56.244896,2.70925248
201011,USA,3784147456.0,1935065984.0,378.4147456,19.35065984
201011,Argentina,915015872.0,452791456.0,91.5015872,4.52791456
201011,Brazil,697722176.0,349367328.0,69.7722176,3.49367328
201012,USA,4887384064.0,2604168960.0,488.73840640000003,26.0416896
201012,Argentina,454561152.0,238147040.0,45.4561152,2.3814704
201012,Brazil,58072376.0,31979148.0,5.8072376,0.31979148
201101,USA,4731048448.0,2640716800.0,473.10484479999997,26.407168
201101,Argentina,86775424.0,48304224.0,8.6775424,0.48304224
201101,Brazil,53973184.0,25734670.0,5.3973184000000005,0.2573467
201102,USA,2318967040.0,1353642752.0,231.896704,13.53642752
201102,Argentina,30.0,362.0,3e-06,3.62e-06
201103,USA,3440848384.0,2039884928.0,344.0848384,20.39884928
201103,Brazil,69685000.0,41819052.0,6.9685,0.41819052
201104,USA,2817992382.0,1652166787.0,281.79923820000005,16.52166787
201104,Brazil,1048226857.0,609188822.0,104.8226857,6.09188822
201105,Brazil,2996433152.0,1738946048.0,299.64331519999996,17.38946048
201105,USA,1567251328.0,910353024.0,156.7251328,9.10353024
201105,Argentina,60.0,748.0,6e-06,7.48e-06
201106,Brazil,3213012224.0,1851606656.0,321.3012224,18.51606656
201106,Argentina,639690624.0,360882656.0,63.9690624,3.60882656
201106,USA,331430496.0,184015792.0,33.1430496,1.84015792
201107,Brazil,3440433920.0,1979979136.0,344.043392,19.79979136
201107,Argentina,1411516160.0,795635456.0,141.151616,7.95635456
201107,USA,59360944.0,34571760.0,5.9360944,0.3457176
201108,Brazil,3066192128.0,1748216704.0,306.6192128,17.48216704
201108,Argentina,962799488.0,543280832.0,96.2799488,5.43280832
201108,USA,196560560.0,111268952.0,19.656056,1.11268952
201109,Brazil,2566836224.0,1474681600.0,256.6836224,14.746816
201109,Argentina,1088204672.0,612723648.0,108.8204672,6.12723648
201109,USA,285963040.0,162809408.0,28.596303999999996,1.62809408
201110,Brazil,1995047040.0,1143837056.0,199.504704,11.43837056
201110,Argentina,1072848384.0,612160960.0,107.28483840000001,6.1216096
201110,USA,538872960.0,307504864.0,53.887296,3.07504864
201111,USA,2467427818.0,1337771774.0,246.7427818,13.37771774
201111,Argentina,1714882716.0,933397073.0,171.4882716,9.33397073
201111,Brazil,1336791205.0,742488259.0,133.6791205,7.42488259
201112,USA,3597153536.0,1925494144.0,359.71535359999996,19.25494144
201112,Argentina,861585280.0,448354112.0,86.158528,4.48354112
201112,Brazil,834491968.0,440018624.0,83.4491968,4.40018624
201201,USA,3138450944.0,1649804288.0,313.8450944,16.49804288
201201,Brazil,986933248.0,516533440.0,98.6933248,5.1653344
201201,Argentina,460833568.0,238299088.0,46.083356800000004,2.38299088
201202,USA,3180338176.0,1648905472.0,318.0338176,16.48905472
201202,Brazil,618548928.0,313336832.0,61.854892799999995,3.13336832
201202,Argentina,26550000.0,14659613.0,2.655,0.14659613
201203,USA,3768072704.0,2005950976.0,376.8072704,20.05950976
201203,Brazil,901364608.0,485516640.0,90.1364608,4.8551664
201203,Argentina,125261000.0,68438672.0,12.5261,0.68438672
201204,Brazil,2598617088.0,1454198272.0,259.8617088,14.54198272
201204,USA,2278635776.0,1242946944.0,227.8635776,12.42946944
201205,Brazil,3891018752.0,2287507968.0,389.1018752,22.87507968
201205,USA,1322722432.0,748186112.0,132.2722432,7.48186112
201205,Argentina,62181000.0,34554660.0,6.2181,0.3455466
201206,Brazil,4284803328.0,2516074496.0,428.4803328,25.16074496
201206,USA,698343424.0,413079456.0,69.8343424,4.13079456
201206,Argentina,584532544.0,345763872.0,58.4532544,3.45763872
201207,Brazil,3802467584.0,2251362304.0,380.2467584,22.51362304
201207,Argentina,1107768192.0,652273024.0,110.7768192,6.52273024
201207,USA,649656640.0,388286816.0,64.965664,3.88286816
201208,Brazil,2805704704.0,1735318528.0,280.5704704,17.35318528
201208,Argentina,758726016.0,481606176.0,75.8726016,4.81606176
201208,USA,395169472.0,243526752.0,39.516947200000004,2.43526752
201209,Brazil,2397491456.0,1553585792.0,239.7491456,15.53585792
201209,Argentina,1087251712.0,691722368.0,108.7251712,6.91722368
201209,USA,1064190592.0,722936448.0,106.41905919999999,7.22936448
201601,USA,3899820042.768,1788564696.0,389.9820042768,17.88564696
201601,Brazil,532115112.634,244042621.0,53.2115112634,2.44042621
201601,Argentina,154892599.813,71038005.0,15.4892599813,0.71038005
201602,USA,3211453305.825,1472860784.0,321.1453305825,14.72860784
201602,Brazil,225021415.402,103201008.0,22.5021415402,1.03201008
201602,Argentina,28664803.467,13146467.0,2.8664803467,0.13146467
201603,USA,3747470517.702,1718693015.0,374.7470517702,17.18693015
201603,Brazil,1031991905.127,473299862.0,103.1991905127,4.73299862
201603,Argentina,24317770.149,11152798.0,2.4317770149,0.11152798
201604,Brazil,3933259378.999,1803900895.0,393.3259378999,18.03900895
201604,USA,1699134993.003,779270025.0,169.9134993003,7.79270025
201604,Argentina,59820795.982,27435636.0,5.9820795982,0.27435636
201605,Brazil,5916049136.496,2713262794.0,591.6049136496,27.13262794
201605,USA,468841470.44,215023589.0,46.884147044,2.15023589
201605,Argentina,52629803.662,24137475.0,5.2629803662,0.24137475
201606,Brazil,6020283133.7,2761067371.0,602.02831337,27.61067371
201606,Argentina,405333686.157,185897173.0,40.5333686157,1.85897173
201606,USA,119948493.354,55011677.0,11.994849335400001,0.55011677
201607,Brazil,5549441765.716,2545126574.0,554.9441765716,25.45126574
201607,Argentina,1366480665.117,626705604.0,136.6480665117,6.26705604
201607,USA,4253137.944,1950606.0,0.4253137944,0.01950606
201608,Brazil,4756294939.146,2181367632.0,475.6294939146,21.81367632
201608,Argentina,1664937658.17,763586187.0,166.49376581700002,7.63586187
201608,USA,340185049.528,156018217.0,34.0185049528,1.56018217
201609,Brazil,3551814297.705,1628959693.0,355.18142977049996,16.28959693
201609,USA,1295060422.374,593950317.0,129.5060422374,5.93950317
201609,Argentina,1270117515.261,582510814.0,127.0117515261,5.82510814
201610,USA,2248398129.013,1031177201.0,224.8398129013,10.31177201
201610,Brazil,1385005762.496,635201723.0,138.50057624960002,6.35201723
201610,Argentina,1027145804.477,471077307.0,102.7145804477,4.71077307
201611,USA,5257626376.219,2411292013.0,525.7626376219,24.11292013
201611,Argentina,989960981.942,454023325.0,98.9960981942,4.54023325
201611,Brazil,701723731.609,321829797.0,70.1723731609,3.21829797
201612,USA,7718566694.975,3539946906.0,771.8566694975001,35.39946906
201612,Brazil,306426205.633,140535483.0,30.6426205633,1.40535483
201701,USA,6317824498.023,2941634134.0,631.7824498023,29.41634134
201701,Brazil,239308672.431,111424203.0,23.9308672431,1.11424203
201701,Argentina,60993811.331,28399250.0,6.0993811331,0.2839925
201702,USA,4375487718.554,1916977488.0,437.54877185539993,19.16977488
201702,Brazil,673046591.029,294873451.0,67.3046591029,2.94873451
201703,USA,4167369063.144,1825797075.0,416.7369063144,18.25797075
201703,Brazil,1717919606.386,752650544.0,171.7919606386,7.52650544
201703,Argentina,9684599.586,4242992.0,0.9684599585999999,0.04242992
201704,Brazil,5929935111.584,2598008004.0,592.9935111583999,25.98008004
201704,USA,1737916673.734,761411608.0,173.7916673734,7.61411608
201704,Argentina,54233759.505,23760756.0,5.4233759505000005,0.23760756
201705,Brazil,7500777640.499,3286221515.0,750.0777640499,32.86221515
201705,USA,1395902573.089,611569265.0,139.5902573089,6.11569265
201705,Argentina,60726425.0,26605306.0,6.072642500000001,0.26605306
201706,Brazil,5897441926.821,2583772173.0,589.7441926821,25.83772173
201706,Argentina,662607515.661,290299910.0,66.2607515661,2.9029991
201706,USA,356169225.28,156043950.0,35.616922527999996,1.5604395
201707,Brazil,6962879090.349,3050558778.0,696.2879090348999,30.50558778
201707,Argentina,1358708923.36,595274379.0,135.870892336,5.95274379
201707,USA,455155186.153,199411426.0,45.515518615299996,1.99411426
201708,Brazil,5614754790.8,2459922008.0,561.47547908,24.59922008
201708,Argentina,1283005883.238,562107256.0,128.30058832379999,5.62107256
201708,USA,166414636.723,72909155.0,16.6414636723,0.72909155
201709,Brazil,5495922037.353,2407859306.0,549.5922037353,24.07859306
