year,partner_country,segment,chip_import_charges
2020,Afghanistan,general,9805.0
2020,Albania,general,5745.0
2020,Algeria,general,1217.0
2020,Andorra,general,5689.0
2020,Angola,general,1445.0
2020,Anguilla,general,4131.0
2020,Antigua and Barbuda,general,13504.0
2020,Argentina,general,365452.0
2020,Armenia,general,2795.0
2020,Aruba,general,168.0
2020,Australia,general,4694974.0
2020,Austria,general,13165833.0
2020,Azerbaijan,general,1362.0
2020,Bahamas,general,13931.0
2020,Bahrain,general,10827.0
2020,Bangladesh,general,15754.0
2020,Barbados,general,64520.0
2020,Belarus,general,32090.0
2020,Belgium,general,8351683.0
2020,Belize,general,17844.0
2020,Benin,general,0.0
2020,Bermuda,general,7289.0
2020,Bhutan,general,65.0
2020,Bolivia,general,4794.0
2020,Bosnia and Herzegovina,general,85814.0
2020,Botswana,general,829.0
2020,Brazil,general,18061324.0
2020,British Indian Ocean Territory,general,979.0
2020,British Virgin Islands,general,5565.0
2020,Brunei,general,1774.0
2020,Bulgaria,general,2553406.0
2020,Burkina Faso,general,75.0
2020,Cabo Verde,general,40426.0
2020,Cambodia,general,14304948.0
2020,Cameroon,general,38651.0
2020,Canada,general,58926126.0
2020,Cayman Islands,general,30835.0
2020,Central African Republic,general,0.0
2020,Chad,general,651.0
2020,Chile,general,162500.0
2020,China,general,3284896655.0
2020,Christmas Island,general,2280.0
2020,Cocos (Keeling) Islands,general,2966.0
2020,Colombia,general,4227493.0
2020,Comoros,general,0.0
2020,Cook Islands,general,1162.0
2020,Costa Rica,general,4044401.0
2020,Croatia,general,927099.0
2020,Curaçao,general,16414.0
2020,Cyprus,general,114542.0
2020,Czechia (Czech Republic),general,27765118.0
2020,Côte d`Ivoire,general,3640.0
2020,Democratic Republic of the Congo,general,755.0
2020,Denmark,general,12148382.0
2020,Djibouti,general,2070.0
2020,Dominica,general,1150.0
2020,Dominican Republic,general,8436635.0
2020,Ecuador,general,1959180.0
2020,Egypt,general,115119.0
2020,El Salvador,general,875995.0
2020,Equatorial Guinea,general,0.0
2020,Eritrea,general,120.0
2020,Estonia,general,10183534.0
2020,Eswatini (Swaziland),general,4149.0
2020,Ethiopia,general,10200.0
2020,Falkland Islands,general,200.0
2020,Faroe Islands,general,8437.0
2020,Fiji,general,8560.0
2020,Finland,general,6986671.0
2020,France,general,33006142.0
2020,French Guiana,general,0.0
2020,French Polynesia,general,1088.0
2020,French Southern and Antarctic Lands,general,0.0
2020,Gabon,general,1380.0
2020,Gambia,general,4582.0
2020,Gaza Strip,general,11918.0
2020,Georgia,general,18466.0
2020,Germany,general,174610186.0
2020,Ghana,general,541.0
2020,Gibraltar,general,75.0
2020,Greece,general,3721456.0
2020,Greenland,general,0.0
2020,Grenada,general,720.0
2020,Guadeloupe,general,25435.0
2020,Guatemala,general,47489.0
2020,Guinea,general,6045.0
2020,Guinea-Bissau,general,585.0
2020,Guyana,general,6197.0
2020,Haiti,general,58921.0
2020,Heard and McDonald Islands,general,1300.0
2020,Honduras,general,16455962.0
2020,Hong Kong,general,8370257.0
2020,Hungary,general,29250163.0
2020,Iceland,general,75801.0
2020,India,general,104052693.0
2020,Indonesia,general,42784700.0
2020,Iraq,general,1281.0
2020,Ireland,general,4878080.0
2020,Israel,general,31982530.0
2020,Italy,general,53417794.0
2020,Jamaica,general,12834.0
2020,Japan,general,272513546.0
2020,Jordan,general,30291.0
2020,Kazakhstan,general,3273.0
2020,Kenya,general,13541.0
2020,Kiribati,general,100.0
2020,Kosovo,general,3865.0
2020,Kuwait,general,576.0
2020,Kyrgyzstan,general,1894.0
2020,Laos,general,445920.0
2020,Latvia,general,1404445.0
2020,Lebanon,general,10089.0
2020,Lesotho,general,20093.0
2020,Liberia,general,707.0
2020,Libya,general,23.0
2020,Liechtenstein,general,583661.0
2020,Lithuania,general,1117538.0
2020,Luxembourg,general,527763.0
2020,Macau,general,42125.0
2020,Madagascar,general,336.0
2020,Malawi,general,864.0
2020,Malaysia,general,340999876.0
2020,Maldives,general,1136.0
2020,Mali,general,8510.0
2020,Malta,general,1265095.0
2020,Marshall Islands,general,3928.0
2020,Martinique,general,900.0
2020,Mauritania,general,907.0
2020,Mauritius,general,9840.0
2020,Mayotte,general,52.0
2020,Mexico,general,210188295.0
2020,Micronesia,general,567.0
2020,Moldova,general,88501.0
2020,Monaco,general,9133.0
2020,Mongolia,general,4705.0
2020,Montenegro,general,27317.0
2020,Montserrat ,general,2370.0
2020,Morocco,general,1977303.0
2020,Mozambique,general,1901.0
2020,Myanmar (Burma),general,1073070.0
2020,Namibia,general,8857.0
2020,Nauru,general,13423.0
2020,Nepal,general,1651.0
2020,Netherlands,general,23684419.0
2020,New Caledonia,general,2877.0
2020,New Zealand,general,3510010.0
2020,Nicaragua,general,7984815.0
2020,Niger,general,4956.0
2020,Nigeria,general,7234.0
2020,Niue,general,250.0
2020,Norfolk Island,general,440.0
2020,North Macedonia,general,1131913.0
2020,Norway,general,2566484.0
2020,Oman,general,35062.0
2020,Pakistan,general,171933.0
2020,Palau,general,2659.0
2020,Panama,general,125460.0
2020,Papua New Guinea,general,1941.0
2020,Paraguay,general,193708.0
2020,Peru,general,323499.0
2020,Philippines,general,114701387.0
2020,Pitcairn Islands,general,3515.0
2020,Poland,general,25834779.0
2020,Portugal,general,8043444.0
2020,Qatar,general,12734.0
2020,Republic of the Congo,general,2430.0
2020,Reunion,general,3065.0
2020,Romania,general,11866292.0
2020,Russia,general,2286157.0
2020,Rwanda,general,2445.0
2020,Saint Helena,general,5364.0
2020,Saint Kitts and Nevis,general,683408.0
2020,Saint Lucia,general,46001.0
2020,Saint Pierre and Miquelon,general,121.0
2020,Saint Vincent and the Grenadines,general,8066.0
2020,Samoa,general,0.0
2020,San Marino,general,2816.0
2020,Saudi Arabia,general,216343.0
2020,Senegal,general,7254.0
2020,Serbia,general,4611151.0
2020,Seychelles,general,7127.0
2020,Sierra Leone,general,58933.0
2020,Singapore,general,51111325.0
2020,Sint Maarten,general,3927.0
2020,Slovakia,general,6710484.0
2020,Slovenia,general,2392343.0
2020,Solomon Islands,general,819.0
2020,Somalia,general,322.0
2020,South Africa,general,1771358.0
2020,South Korea,general,176928433.0
2020,South Sudan,general,0.0
