year,total_imports_usd,total_tariff_revenue_usd,effective_tariff_rate,weighted_avg_tariff,china_imports_usd,china_tariff_revenue_usd,china_effective_tariff_rate
2015,2248811400000,34300000000,1.53,1.4,483201700000,6786823800,1.40
2016,2186785000000,34500000000,1.58,1.4,462420000000,6473880000,1.40
2017,2339591300000,34900000000,1.49,1.4,505165100000,7072311400,1.40
2018,2536145300000,41400000000,1.63,1.7,538514200000,36562964000,6.79
2019,2491699600000,71500000000,2.87,2.2,449110700000,35848856000,7.98
2020,2331477200000,67400000000,2.89,2.4,432548000000,25912880000,5.99
2021,2828515500000,80000000000,2.83,2.3,504246300000,45262167000,8.98
2022,3239732900000,98900000000,3.05,2.5,536268700000,48264183000,9.00
2023,3076796400000,80300000000,2.61,2.3,427246600000,38472200000,9.00
2024,3266410200000,100000000000,3.06,2.5,438742000000,39486780000,9.00
