Total Exports|Annual Data,,,,,,,,,
Data Row Count,17773,,,,,,,,
Data Type,HTS Number,Description,Country,2020,2021,2022,2023,2024,2025
FAS Value,01,LIVE ANIMALS,Afghanistan,4483.00,0.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Algeria,1361856.00,1225298.00,3755039.00,1477287.00,2641342.00,0.00
FAS Value,01,LIVE ANIMALS,Anguilla,51670.00,0.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Antigua and Barbuda,79333.00,86258.00,67362.00,62400.00,69650.00,0.00
FAS Value,01,LIVE ANIMALS,Argentina,2347627.00,2964070.00,1646892.00,3974299.00,3476409.00,0.00
FAS Value,01,LIVE ANIMALS,Aruba,15086.00,32074.00,70988.00,11780.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Australia,4373243.00,1338445.00,1173196.00,3223157.00,2527494.00,0.00
FAS Value,01,LIVE ANIMALS,Austria,722209.00,302887.00,234912.00,448214.00,251837.00,0.00
FAS Value,01,LIVE ANIMALS,Azerbaijan,192994.00,206422.00,359320.00,184320.00,296780.00,0.00
FAS Value,01,LIVE ANIMALS,Bahamas,161272.00,188090.00,224070.00,532887.00,515457.00,0.00
FAS Value,01,LIVE ANIMALS,Bahrain,100161.00,84670.00,143022.00,43318.00,187104.00,0.00
FAS Value,01,LIVE ANIMALS,Bangladesh,5290321.00,7183349.00,4104339.00,4411027.00,6548124.00,0.00
FAS Value,01,LIVE ANIMALS,Barbados,560625.00,23500.00,21236.00,168000.00,223678.00,0.00
FAS Value,01,LIVE ANIMALS,Belgium,8084671.00,3081570.00,3836597.00,2248337.00,1054647.00,0.00
FAS Value,01,LIVE ANIMALS,Belize,756506.00,724916.00,808639.00,898418.00,1181860.00,0.00
FAS Value,01,LIVE ANIMALS,Bermuda,24841.00,224136.00,156432.00,136000.00,349055.00,0.00
FAS Value,01,LIVE ANIMALS,Bolivia,29341.00,38584.00,22352.00,9840.00,13163.00,0.00
FAS Value,01,LIVE ANIMALS,Botswana,0.00,0.00,0.00,1110755.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Brazil,4321090.00,3440796.00,4947981.00,4983202.00,7709960.00,0.00
FAS Value,01,LIVE ANIMALS,British Virgin Islands,29037.00,0.00,37000.00,21200.00,27000.00,0.00
FAS Value,01,LIVE ANIMALS,Bulgaria,2580.00,29931.00,31573.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Cameroon,0.00,0.00,3100.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Canada,380752964.00,590029599.00,552934933.00,548182980.00,662878063.00,0.00
FAS Value,01,LIVE ANIMALS,Cayman Islands,2530.00,0.00,151083.00,123119.00,206652.00,0.00
FAS Value,01,LIVE ANIMALS,Central African Republic,0.00,29043.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Chile,13897949.00,1435218.00,1632806.00,2372666.00,3537010.00,0.00
FAS Value,01,LIVE ANIMALS,China,19659061.00,48614466.00,19458352.00,31306407.00,58602422.00,0.00
FAS Value,01,LIVE ANIMALS,Colombia,1194183.00,926615.00,1466836.00,367631.00,1009246.00,0.00
FAS Value,01,LIVE ANIMALS,Costa Rica,5544274.00,5738910.00,6901384.00,7694899.00,8551551.00,0.00
FAS Value,01,LIVE ANIMALS,Croatia,6724.00,8542.00,9819.00,0.00,139628.00,0.00
FAS Value,01,LIVE ANIMALS,Cuba,0.00,0.00,0.00,98659.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Curaçao,87400.00,22235.00,64375.00,85800.00,39492.00,0.00
FAS Value,01,LIVE ANIMALS,Cyprus,0.00,0.00,0.00,14999.00,19112.00,0.00
FAS Value,01,LIVE ANIMALS,Czechia (Czech Republic),83931.00,85141.00,81426.00,58164.00,58819.00,0.00
FAS Value,01,LIVE ANIMALS,Denmark,1921152.00,1242127.00,1062804.00,1861248.00,385906.00,0.00
FAS Value,01,LIVE ANIMALS,Dominican Republic,3535059.00,4233725.00,6087472.00,7166452.00,6747087.00,0.00
FAS Value,01,LIVE ANIMALS,Ecuador,4528201.00,1699470.00,1654392.00,2106709.00,1814377.00,0.00
FAS Value,01,LIVE ANIMALS,Egypt,5937290.00,3796803.00,1840589.00,3622400.00,2192136.00,0.00
FAS Value,01,LIVE ANIMALS,El Salvador,5512176.00,5257030.00,4019813.00,5741380.00,7539847.00,0.00
FAS Value,01,LIVE ANIMALS,Estonia,5000.00,31000.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Ethiopia,0.00,2613.00,0.00,3394.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Finland,303846.00,69176.00,232520.00,266588.00,499971.00,0.00
FAS Value,01,LIVE ANIMALS,France,15586650.00,11653931.00,7290672.00,17002682.00,15891843.00,0.00
FAS Value,01,LIVE ANIMALS,Germany,10554954.00,15832209.00,11823281.00,13848807.00,10845578.00,0.00
FAS Value,01,LIVE ANIMALS,Ghana,7500.00,7362.00,41350.00,127906.00,13800.00,0.00
FAS Value,01,LIVE ANIMALS,Greece,30342.00,52486.00,30981.00,34334.00,21661.00,0.00
FAS Value,01,LIVE ANIMALS,Grenada,22097.00,0.00,30639.00,35550.00,33100.00,0.00
FAS Value,01,LIVE ANIMALS,Guatemala,10529977.00,10673736.00,14605933.00,13792280.00,16437079.00,0.00
FAS Value,01,LIVE ANIMALS,Guyana,110527.00,89786.00,318903.00,239803.00,246216.00,0.00
FAS Value,01,LIVE ANIMALS,Haiti,446685.00,461394.00,170320.00,255008.00,177293.00,0.00
FAS Value,01,LIVE ANIMALS,Honduras,5384828.00,6166762.00,6536975.00,8320842.00,8937320.00,0.00
FAS Value,01,LIVE ANIMALS,Hong Kong,3760897.00,2016693.00,4410447.00,4307134.00,3127321.00,0.00
FAS Value,01,LIVE ANIMALS,Hungary,443262.00,45996.00,501821.00,141568.00,63220.00,0.00
FAS Value,01,LIVE ANIMALS,Iceland,0.00,38093.00,21101.00,57151.00,94352.00,0.00
FAS Value,01,LIVE ANIMALS,India,3227051.00,2694653.00,3228095.00,3502008.00,5300887.00,0.00
FAS Value,01,LIVE ANIMALS,Indonesia,23416758.00,25548364.00,33252793.00,34230262.00,34025333.00,0.00
FAS Value,01,LIVE ANIMALS,Iran,1466713.00,972662.00,989377.00,151223.00,65496.00,0.00
FAS Value,01,LIVE ANIMALS,Iraq,0.00,188000.00,30000.00,1072137.00,245838.00,0.00
FAS Value,01,LIVE ANIMALS,Ireland,27720544.00,22004847.00,18400131.00,34311237.00,27766088.00,0.00
FAS Value,01,LIVE ANIMALS,Israel,1282873.00,1156412.00,1048044.00,1651367.00,1165675.00,0.00
FAS Value,01,LIVE ANIMALS,Italy,1612709.00,1223577.00,1950503.00,2010820.00,2177868.00,0.00
FAS Value,01,LIVE ANIMALS,Jamaica,1161294.00,1019908.00,1556998.00,2269665.00,1838754.00,0.00
FAS Value,01,LIVE ANIMALS,Japan,59334498.00,93473912.00,67643791.00,45849077.00,63654574.00,0.00
FAS Value,01,LIVE ANIMALS,Jordan,0.00,203464.00,1006410.00,645445.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Kazakhstan,30176.00,159659.00,2526000.00,692321.00,1737808.00,0.00
FAS Value,01,LIVE ANIMALS,Kenya,0.00,42897.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Kuwait,1642137.00,437027.00,355683.00,263996.00,731322.00,0.00
FAS Value,01,LIVE ANIMALS,Kyrgyzstan,88768.00,84073.00,5200.00,1834200.00,878000.00,0.00
FAS Value,01,LIVE ANIMALS,Laos,0.00,0.00,2468580.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Latvia,7336.00,0.00,6906.00,20203.00,10465.00,0.00
FAS Value,01,LIVE ANIMALS,Lebanon,112171.00,104104.00,152457.00,107307.00,25000.00,0.00
FAS Value,01,LIVE ANIMALS,Liberia,0.00,0.00,0.00,3000.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Lithuania,5835.00,18684.00,6720.00,0.00,11304.00,0.00
FAS Value,01,LIVE ANIMALS,Luxembourg,325268.00,0.00,20000.00,32531.00,592745.00,0.00
FAS Value,01,LIVE ANIMALS,Macau,1978587.00,1207091.00,32800.00,1801409.00,14310.00,0.00
FAS Value,01,LIVE ANIMALS,Malaysia,4301879.00,7777358.00,2702356.00,114718.00,10090247.00,0.00
FAS Value,01,LIVE ANIMALS,Malta,0.00,0.00,0.00,28213.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Marshall Islands,2620000.00,52000.00,52000.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Mauritius,0.00,0.00,0.00,121813.00,55024.00,0.00
FAS Value,01,LIVE ANIMALS,Mexico,105941910.00,189178587.00,193213249.00,142277354.00,121976248.00,0.00
FAS Value,01,LIVE ANIMALS,Micronesia,53000.00,7238.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Moldova,0.00,0.00,0.00,10512.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Morocco,1363961.00,534567.00,1271268.00,3346143.00,4006504.00,0.00
FAS Value,01,LIVE ANIMALS,Myanmar (Burma),747779.00,857012.00,1532905.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Nepal,880977.00,1594259.00,256318.00,194650.00,996679.00,0.00
FAS Value,01,LIVE ANIMALS,Netherlands,4435471.00,2326300.00,8167646.00,5658809.00,3620403.00,0.00
FAS Value,01,LIVE ANIMALS,New Zealand,1452035.00,260652.00,319572.00,3031200.00,7805506.00,0.00
FAS Value,01,LIVE ANIMALS,Nicaragua,2450805.00,2741421.00,2234210.00,3357091.00,3328232.00,0.00
FAS Value,01,LIVE ANIMALS,Nigeria,57590.00,1340235.00,149350.00,6702.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Norway,56674.00,102360.00,24323.00,94357.00,51865.00,0.00
FAS Value,01,LIVE ANIMALS,Oman,0.00,796212.00,12818.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Pakistan,3818241.00,22028507.00,12927086.00,3182968.00,5803265.00,0.00
FAS Value,01,LIVE ANIMALS,Palau,0.00,0.00,0.00,0.00,30000.00,0.00
FAS Value,01,LIVE ANIMALS,Panama,7021571.00,7390878.00,7982783.00,9822133.00,10873443.00,0.00
FAS Value,01,LIVE ANIMALS,Paraguay,16000.00,12540.00,65145.00,0.00,632922.00,0.00
FAS Value,01,LIVE ANIMALS,Peru,1726037.00,1132514.00,420152.00,723074.00,1586656.00,0.00
FAS Value,01,LIVE ANIMALS,Philippines,13428217.00,10788898.00,19241986.00,23960807.00,20280265.00,0.00
FAS Value,01,LIVE ANIMALS,Poland,205884.00,643573.00,69515.00,18200.00,550776.00,0.00
FAS Value,01,LIVE ANIMALS,Portugal,623485.00,485850.00,370111.00,432163.00,331742.00,0.00
FAS Value,01,LIVE ANIMALS,Qatar,11656734.00,1040679.00,583589.00,714789.00,1065342.00,0.00
FAS Value,01,LIVE ANIMALS,Romania,9915.00,41284.00,36010.00,119105.00,25273.00,0.00
FAS Value,01,LIVE ANIMALS,Russia,2471263.00,7044130.00,7300031.00,404983.00,160000.00,0.00
FAS Value,01,LIVE ANIMALS,Saint Kitts and Nevis,18900.00,7025.00,15897.00,51971.00,30419.00,0.00
FAS Value,01,LIVE ANIMALS,Saint Lucia,31060.00,32985.00,37935.00,69551.00,138969.00,0.00
FAS Value,01,LIVE ANIMALS,Saint Vincent and the Grenadines,0.00,27547.00,4200.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Samoa,0.00,0.00,0.00,0.00,5856.00,0.00
FAS Value,01,LIVE ANIMALS,Saudi Arabia,10089144.00,5863828.00,18161807.00,30099068.00,28780647.00,0.00
FAS Value,01,LIVE ANIMALS,Senegal,0.00,0.00,93194.00,109782.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Serbia,115302.00,4869.00,3255.00,0.00,7516.00,0.00
FAS Value,01,LIVE ANIMALS,Singapore,860327.00,786837.00,1376269.00,2055984.00,2223548.00,0.00
FAS Value,01,LIVE ANIMALS,Sint Maarten,306150.00,132774.00,4000.00,0.00,3266.00,0.00
FAS Value,01,LIVE ANIMALS,Slovakia,0.00,0.00,0.00,10000.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Slovenia,0.00,0.00,0.00,4600.00,3374.00,0.00
FAS Value,01,LIVE ANIMALS,South Africa,2132627.00,284732.00,667200.00,140930.00,1213798.00,0.00
FAS Value,01,LIVE ANIMALS,South Korea,20984306.00,16780729.00,19731348.00,25927310.00,25937103.00,0.00
FAS Value,01,LIVE ANIMALS,Spain,707617.00,675884.00,697384.00,616419.00,726447.00,0.00
FAS Value,01,LIVE ANIMALS,Sri Lanka,2152611.00,2762634.00,690549.00,1334132.00,1831304.00,0.00
FAS Value,01,LIVE ANIMALS,Sudan,469618.00,254350.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Suriname,343547.00,340485.00,532492.00,285905.00,396776.00,0.00
FAS Value,01,LIVE ANIMALS,Sweden,3612901.00,4202971.00,882095.00,438916.00,203986.00,0.00
FAS Value,01,LIVE ANIMALS,Switzerland,385438.00,208699.00,409380.00,3907748.00,4507893.00,0.00
FAS Value,01,LIVE ANIMALS,São Tomé and Príncipe,13792.00,0.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,Taiwan,4388280.00,5747186.00,7210852.00,8053039.00,9789462.00,0.00
FAS Value,01,LIVE ANIMALS,Thailand,15233340.00,20259752.00,13698566.00,21780451.00,20057229.00,0.00
FAS Value,01,LIVE ANIMALS,Tonga,140000.00,0.00,0.00,0.00,0.00,0.00
