General Imports|Annual Data,,,,,,,,,
Data Row Count,14176,,,,,,,,
Data Type,HTS Number,Description,Country,2020,2021,2022,2023,2024,2025
General Import Charges,01,LIVE ANIMALS,Afghanistan,1.00,698.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Antigua and Barbuda,7173.00,0.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Argentina,874785.00,2071210.00,2174749.00,1687947.00,2529843.00,0.00
General Import Charges,01,LIVE ANIMALS,Armenia,0.00,5750.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Aruba,0.00,3800.00,350.00,1050.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Australia,252031.00,198547.00,56075.00,70848.00,93790.00,0.00
General Import Charges,01,LIVE ANIMALS,Austria,25981.00,18618.00,57781.00,27410.00,18071.00,0.00
General Import Charges,01,LIVE ANIMALS,Azerbaijan,0.00,10069.00,0.00,0.00,400.00,0.00
General Import Charges,01,LIVE ANIMALS,Bahamas,40248.00,20042.00,41259.00,571.00,22413.00,0.00
General Import Charges,01,LIVE ANIMALS,Bahrain,4480.00,500.00,1200.00,0.00,1471.00,0.00
General Import Charges,01,LIVE ANIMALS,Barbados,18175.00,9778.00,76244.00,21508.00,37488.00,0.00
General Import Charges,01,LIVE ANIMALS,Belarus,1809.00,0.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Belgium,2375714.00,4354121.00,5396736.00,4324002.00,5151433.00,0.00
General Import Charges,01,LIVE ANIMALS,Belize,1775.00,1620.00,2460.00,2112.00,2200.00,0.00
General Import Charges,01,LIVE ANIMALS,Benin,14432.00,28412.00,20949.00,9961.00,14115.00,0.00
General Import Charges,01,LIVE ANIMALS,Bermuda,7500.00,12455.00,4638.00,11767.00,6500.00,0.00
General Import Charges,01,LIVE ANIMALS,Bolivia,448.00,3023.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Bosnia and Herzegovina,3000.00,1802.00,2612.00,700.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Brazil,418524.00,512753.00,714592.00,605981.00,533576.00,0.00
General Import Charges,01,LIVE ANIMALS,Bulgaria,11727.00,29801.00,68928.00,51379.00,29562.00,0.00
General Import Charges,01,LIVE ANIMALS,Cabo Verde,0.00,0.00,2410.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Cambodia,3819001.00,2289000.00,2107176.00,17759.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Cameroon,0.00,0.00,1928.00,1000.00,4927.00,0.00
General Import Charges,01,LIVE ANIMALS,Canada,7054108.00,8014583.00,7747958.00,7694869.00,8087966.00,0.00
General Import Charges,01,LIVE ANIMALS,Cayman Islands,0.00,1.00,0.00,4.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Chile,529155.00,157074.00,256196.00,368511.00,335396.00,0.00
General Import Charges,01,LIVE ANIMALS,China,230309.00,272346.00,543905.00,899813.00,720557.00,0.00
General Import Charges,01,LIVE ANIMALS,Christmas Island,1.00,0.00,0.00,0.00,1.00,0.00
General Import Charges,01,LIVE ANIMALS,Colombia,279048.00,396009.00,289783.00,372319.00,356321.00,0.00
General Import Charges,01,LIVE ANIMALS,Cook Islands,1700.00,0.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Costa Rica,49099.00,158522.00,238858.00,201963.00,210887.00,0.00
General Import Charges,01,LIVE ANIMALS,Croatia,54697.00,28016.00,38355.00,31840.00,31069.00,0.00
General Import Charges,01,LIVE ANIMALS,Curaçao,899.00,0.00,350.00,1000.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Cyprus,12545.00,0.00,19546.00,6400.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Czechia (Czech Republic),908556.00,894216.00,965633.00,759953.00,622654.00,0.00
General Import Charges,01,LIVE ANIMALS,Democratic Republic of the Congo,449.00,5729.00,33136.00,16171.00,25372.00,0.00
General Import Charges,01,LIVE ANIMALS,Denmark,141629.00,213389.00,289252.00,214660.00,167199.00,0.00
General Import Charges,01,LIVE ANIMALS,Dominican Republic,1450.00,16323.00,6962.00,32259.00,2501.00,0.00
General Import Charges,01,LIVE ANIMALS,Ecuador,485110.00,637340.00,600990.00,501975.00,417398.00,0.00
General Import Charges,01,LIVE ANIMALS,Egypt,10572.00,48880.00,47466.00,46697.00,58529.00,0.00
General Import Charges,01,LIVE ANIMALS,El Salvador,129008.00,169536.00,133245.00,108992.00,83694.00,0.00
General Import Charges,01,LIVE ANIMALS,Estonia,6905.00,5790.00,7763.00,5727.00,4.00,0.00
General Import Charges,01,LIVE ANIMALS,Eswatini (Swaziland),0.00,0.00,0.00,0.00,800.00,0.00
General Import Charges,01,LIVE ANIMALS,Fiji,0.00,2919.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Finland,1501.00,1912.00,804.00,3066.00,1408.00,0.00
General Import Charges,01,LIVE ANIMALS,France,537141.00,634782.00,694725.00,1029647.00,624917.00,0.00
General Import Charges,01,LIVE ANIMALS,Georgia,0.00,0.00,100.00,0.00,400.00,0.00
General Import Charges,01,LIVE ANIMALS,Germany,3722728.00,4801026.00,4376483.00,5480908.00,5228943.00,0.00
General Import Charges,01,LIVE ANIMALS,Ghana,82199.00,85715.00,70187.00,34618.00,21426.00,0.00
General Import Charges,01,LIVE ANIMALS,Gibraltar,0.00,1000.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Greece,1630.00,9111.00,5144.00,7159.00,17617.00,0.00
General Import Charges,01,LIVE ANIMALS,Grenada,0.00,0.00,1.00,796.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Guatemala,5851.00,21825.00,16501.00,81283.00,65513.00,0.00
General Import Charges,01,LIVE ANIMALS,Guinea-Bissau,0.00,34699.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Guyana,29314.00,50592.00,33110.00,18473.00,22604.00,0.00
General Import Charges,01,LIVE ANIMALS,Haiti,5257.00,4875.00,3411.00,636.00,1523.00,0.00
General Import Charges,01,LIVE ANIMALS,Hong Kong,27985.00,24429.00,21588.00,4636.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Hungary,707812.00,1799076.00,1327475.00,888719.00,739989.00,0.00
General Import Charges,01,LIVE ANIMALS,Iceland,115395.00,155458.00,75450.00,56892.00,68018.00,0.00
General Import Charges,01,LIVE ANIMALS,India,3500.00,0.00,10827.00,7867.00,1200.00,0.00
General Import Charges,01,LIVE ANIMALS,Indonesia,122636.00,183628.00,193035.00,372256.00,443168.00,0.00
General Import Charges,01,LIVE ANIMALS,Ireland,1536946.00,1525318.00,1658788.00,2131939.00,3392727.00,0.00
General Import Charges,01,LIVE ANIMALS,Israel,49039.00,59670.00,123508.00,139340.00,365381.00,0.00
General Import Charges,01,LIVE ANIMALS,Italy,31466.00,48288.00,78270.00,103960.00,88408.00,0.00
General Import Charges,01,LIVE ANIMALS,Jamaica,0.00,0.00,2960.00,0.00,2079.00,0.00
General Import Charges,01,LIVE ANIMALS,Japan,172679.00,97419.00,396894.00,269080.00,705053.00,0.00
General Import Charges,01,LIVE ANIMALS,Jordan,7000.00,397.00,0.00,0.00,4714.00,0.00
General Import Charges,01,LIVE ANIMALS,Kazakhstan,1562.00,800.00,4100.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Kenya,67922.00,101707.00,83446.00,127164.00,111394.00,0.00
General Import Charges,01,LIVE ANIMALS,Kosovo,0.00,2145.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Kuwait,2241.00,14015.00,20478.00,9182.00,34241.00,0.00
General Import Charges,01,LIVE ANIMALS,Latvia,1762.00,897.00,16521.00,13309.00,23368.00,0.00
General Import Charges,01,LIVE ANIMALS,Lebanon,0.00,1323.00,17787.00,15741.00,9600.00,0.00
General Import Charges,01,LIVE ANIMALS,Lithuania,15666.00,12016.00,11733.00,9457.00,11730.00,0.00
General Import Charges,01,LIVE ANIMALS,Luxembourg,37390.00,64813.00,49620.00,3000.00,4199.00,0.00
General Import Charges,01,LIVE ANIMALS,Madagascar,8483.00,65756.00,43984.00,23890.00,46663.00,0.00
General Import Charges,01,LIVE ANIMALS,Malaysia,20813.00,17383.00,23778.00,43974.00,31598.00,0.00
General Import Charges,01,LIVE ANIMALS,Mali,970.00,909.00,1935.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Mauritius,2366005.00,3803799.00,3611735.00,4294573.00,3665511.00,0.00
General Import Charges,01,LIVE ANIMALS,Mexico,1999312.00,1850146.00,1363644.00,1982676.00,1948857.00,0.00
General Import Charges,01,LIVE ANIMALS,Moldova,0.00,3001.00,0.00,107.00,1.00,0.00
General Import Charges,01,LIVE ANIMALS,Monaco,0.00,0.00,4503.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Montenegro,2571.00,103.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Morocco,0.00,1500.00,28243.00,57867.00,18398.00,0.00
General Import Charges,01,LIVE ANIMALS,Namibia,0.00,0.00,0.00,26250.00,255410.00,0.00
General Import Charges,01,LIVE ANIMALS,Netherlands,7430744.00,8712481.00,8121633.00,7901742.00,8535356.00,0.00
General Import Charges,01,LIVE ANIMALS,New Zealand,173872.00,25135.00,10.00,10333.00,53536.00,0.00
General Import Charges,01,LIVE ANIMALS,Nicaragua,62395.00,102623.00,55424.00,48772.00,39282.00,0.00
General Import Charges,01,LIVE ANIMALS,Niger,0.00,732.00,4053.00,1500.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Nigeria,0.00,0.00,4747.00,2752.00,1000.00,0.00
General Import Charges,01,LIVE ANIMALS,North Macedonia,40059.00,40419.00,42892.00,37237.00,27925.00,0.00
General Import Charges,01,LIVE ANIMALS,Norway,3704.00,3652.00,14594.00,12796.00,1625.00,0.00
General Import Charges,01,LIVE ANIMALS,Panama,18438.00,20880.00,24632.00,6019.00,29748.00,0.00
General Import Charges,01,LIVE ANIMALS,Paraguay,0.00,15206.00,15000.00,1050.00,630.00,0.00
General Import Charges,01,LIVE ANIMALS,Peru,46457.00,79025.00,47564.00,34359.00,69617.00,0.00
General Import Charges,01,LIVE ANIMALS,Philippines,76812.00,101156.00,51462.00,145441.00,331686.00,0.00
General Import Charges,01,LIVE ANIMALS,Poland,342661.00,759170.00,1390487.00,882050.00,962083.00,0.00
General Import Charges,01,LIVE ANIMALS,Portugal,91473.00,273456.00,177779.00,222338.00,155817.00,0.00
General Import Charges,01,LIVE ANIMALS,Qatar,29072.00,7500.00,4221.00,2.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Republic of the Congo,441.00,2382.00,0.00,350.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Reunion,0.00,180.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Romania,93059.00,418602.00,524882.00,280338.00,125498.00,0.00
General Import Charges,01,LIVE ANIMALS,Russia,178399.00,524140.00,163040.00,12706.00,115721.00,0.00
General Import Charges,01,LIVE ANIMALS,Saint Kitts and Nevis,45500.00,97824.00,52343.00,75000.00,75000.00,0.00
General Import Charges,01,LIVE ANIMALS,Saint Lucia,0.00,0.00,437.00,2429.00,6907.00,0.00
